,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
75,Daylight,Lover,Taylor Swift,2019-08-23,293453,68,0.557,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4
80,False God,Lover,Taylor Swift,2019-08-23,200306,67,0.739,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,4
6,I Knew You Were Trouble.,Red,Taylor Swift,2012-10-22,217973,66,0.622,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,4
28,Style,1989,Taylor Swift,2014-10-27,231000,66,0.598,0.00256,0.598,0.786,0.00143,0.117,-5.572,0.0382,95.021,4
78,Soon You’ll Get Better (feat. The Chicks),Lover,Taylor Swift,2019-08-23,201586,66,0.433,0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,4
67,Our Song,Taylor Swift,Taylor Swift,2006-10-24,201106,65,0.668,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,4
79,It’s Nice To Have A Friend,Lover,Taylor Swift,2019-08-23,150440,65,0.737,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,4
9,We Are Never Ever Getting Back Together,Red,Taylor Swift,2012-10-22,191880,64,0.628,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,4
24,Bad Blood,1989,Taylor Swift,2014-10-27,211933,64,0.652,0.0871,0.652,0.802,6.45E-06,0.148,-6.114,0.181,170.157,4
46,cardigan - cabin in candlelight version,cardigan (cabin in candlelight version),Taylor Swift,2020-07-30,228000,64,0.652,0.9,0.652,0.237,0,0.0991,-8.364,0.0335,129.976,4
55,Cornelia Street - Live From Paris,Cornelia Street (Live From Paris),Taylor Swift,2020-05-18,296013,64,0.502,0.578,0.502,0.462,0,0.721,-7.526,0.0265,97.085,4
77,Highway Don't Care,Two Lanes Of Freedom,Tim McGraw,2013-01-01,276880,64,0.47,0.0216,0.47,0.79,0,0.0863,-5.352,0.039,158.061,4
37,Mine,Speak Now,Taylor Swift,2010-10-25,230706,63,0.624,0.00265,0.624,0.757,1.87E-06,0.189,-2.94,0.0296,121.07,4
38,Back To December,Speak Now,Taylor Swift,2010-10-25,293026,62,0.529,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,4
69,Mean,Speak Now,Taylor Swift,2010-10-25,237733,62,0.568,0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,4
32,Red,Red,Taylor Swift,2012-10-22,220826,61,0.602,0.0773,0.602,0.896,8.87E-05,0.091,-4.267,0.0437,124.978,4
45,Out Of The Woods,1989,Taylor Swift,2014-10-27,235800,61,0.552,0.00103,0.552,0.841,1.23E-05,0.337,-6.938,0.0372,91.993,4
53,Death By A Thousand Cuts - Live From Paris,Death By A Thousand Cuts (Live From Paris),Taylor Swift,2020-05-17,199066,61,0.584,0.712,0.584,0.655,0,0.97,-5.551,0.0306,91.844,4
76,Tim McGraw,Taylor Swift,Taylor Swift,2006-10-24,232106,61,0.58,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,4
81,Picture To Burn,Taylor Swift,Taylor Swift,2006-10-24,173066,61,0.658,0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,4
33,Everything Has Changed,Red,Taylor Swift,2012-10-22,243933,60,0.624,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,4
50,New Romantics,1989 (Deluxe Edition),Taylor Swift,2014-10-27,230466,60,0.633,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,4
59,Enchanted,Speak Now,Taylor Swift,2010-10-25,352186,60,0.455,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,4
63,Welcome To New York,1989,Taylor Swift,2014-10-27,212600,60,0.793,0.038,0.793,0.634,1.76E-06,0.304,-4.807,0.0324,117.023,4
71,Fifteen,Fearless,Taylor Swift,2008-11-11,294333,60,0.556,0.067,0.556,0.651,0,0.145,-4.396,0.0266,95.485,4
